# season=2026/27 preseason=False next_gw=3 deadline=2026-09-04T17:30:00Z players=623 fetched=2026-08-30T02:51:06+00:00
# difficulty GW3-8, easiest first
# opponents: UPPER=home lower=away, (n)=difficulty
team,games,avg_difficulty,opponents
CRY,6,2.67,ful(3) IPS(2) lee(3) NFO(3) bha(3) NEW(2)
LIV,6,2.67,ips(2) FUL(2) bou(3) MCI(4) bre(3) BHA(2)
NEW,6,2.67,BOU(3) lee(3) HUL(2) cov(2) AVL(3) cry(3)
COV,6,2.83,mci(5) BHA(2) nfo(3) NEW(2) tot(3) FUL(2)
FUL,6,2.83,CRY(3) liv(4) MUN(4) ips(2) HUL(2) cov(2)
ARS,6,3.0,CHE(4) sun(3) bha(3) LEE(2) nfo(3) EVE(3)
AVL,6,3.0,hul(2) NFO(3) tot(3) BRE(3) new(3) MCI(4)
BHA,6,3.0,LEE(2) cov(2) ARS(4) sun(3) CRY(3) liv(4)
MCI,6,3.0,COV(2) mun(4) SUN(2) liv(4) IPS(2) avl(4)
NFO,6,3.0,TOT(3) avl(4) COV(2) cry(3) ARS(4) ips(2)
BRE,6,3.17,SUN(2) bou(3) CHE(4) avl(4) LIV(4) hul(2)
CHE,6,3.17,ars(5) HUL(2) bre(3) BOU(3) eve(3) TOT(3)
HUL,6,3.17,AVL(3) che(4) new(3) EVE(3) ful(3) BRE(3)
MUN,6,3.17,eve(3) MCI(4) ful(3) TOT(3) lee(3) BOU(3)
SUN,6,3.17,bre(3) ARS(4) mci(5) BHA(2) bou(3) LEE(2)
TOT,6,3.17,nfo(3) EVE(3) AVL(3) mun(4) COV(2) che(4)
BOU,6,3.33,new(3) BRE(3) LIV(4) che(4) SUN(2) mun(4)
EVE,6,3.33,MUN(4) tot(3) IPS(2) hul(2) CHE(4) ars(5)
IPS,6,3.33,LIV(4) cry(3) eve(3) FUL(2) mci(5) NFO(3)
LEE,6,3.33,bha(3) NEW(2) CRY(3) ars(5) MUN(4) sun(3)
