# season=2026/27 preseason=True next_gw=1 deadline=2026-08-21T17:30:00Z players=567 fetched=2026-08-04T14:19:27.477195+00:00
gw,home,away,h_diff,a_diff,kickoff
1,ARS,COV,2,5,2026-08-21
1,HUL,MUN,4,2,2026-08-22
1,EVE,CRY,3,3,2026-08-22
1,IPS,SUN,2,2,2026-08-22
1,NFO,LEE,2,3,2026-08-22
1,BRE,TOT,3,3,2026-08-22
1,BHA,AVL,3,3,2026-08-23
1,MCI,BOU,3,5,2026-08-23
1,NEW,LIV,4,3,2026-08-23
1,FUL,CHE,4,3,2026-08-24
2,CRY,MCI,4,3,2026-08-28
2,LIV,NFO,3,4,2026-08-29
2,BOU,EVE,3,3,2026-08-29
2,COV,HUL,2,2,2026-08-29
2,TOT,NEW,2,3,2026-08-29
2,CHE,BHA,2,4,2026-08-30
2,LEE,BRE,3,3,2026-08-30
2,SUN,FUL,2,3,2026-08-30
2,MUN,IPS,2,4,2026-08-30
2,AVL,ARS,4,4,2026-08-31
3,IPS,LIV,4,2,2026-09-04
3,NEW,BOU,3,3,2026-09-05
3,BRE,SUN,2,3,2026-09-05
3,BHA,LEE,2,3,2026-09-05
3,FUL,CRY,3,3,2026-09-05
3,MCI,COV,2,5,2026-09-05
3,NFO,TOT,3,3,2026-09-05
3,HUL,AVL,3,2,2026-09-05
3,EVE,MUN,4,3,2026-09-06
3,ARS,CHE,4,5,2026-09-06
4,AVL,NFO,3,4,2026-09-12
4,BOU,BRE,3,3,2026-09-12
4,CHE,HUL,2,4,2026-09-12
4,CRY,IPS,2,3,2026-09-12
4,LIV,FUL,2,4,2026-09-12
4,TOT,EVE,3,3,2026-09-12
4,SUN,ARS,4,3,2026-09-12
4,COV,BHA,2,2,2026-09-13
4,MUN,MCI,4,4,2026-09-13
4,LEE,NEW,2,3,2026-09-14
5,BRE,CHE,4,3,2026-09-18
5,TOT,AVL,3,3,2026-09-19
5,BHA,ARS,4,3,2026-09-19
5,EVE,IPS,2,3,2026-09-19
5,LEE,CRY,3,3,2026-09-19
5,MCI,SUN,2,5,2026-09-19
5,NEW,HUL,2,3,2026-09-19
5,NFO,COV,2,3,2026-09-19
5,BOU,LIV,4,3,2026-09-20
5,FUL,MUN,4,3,2026-09-20
6,ARS,LEE,2,5,2026-10-10
6,AVL,BRE,3,4,2026-10-10
6,CHE,BOU,3,4,2026-10-10
6,COV,NEW,2,2,2026-10-10
6,CRY,NFO,3,3,2026-10-10
6,HUL,EVE,3,2,2026-10-10
6,IPS,FUL,2,2,2026-10-10
6,LIV,MCI,4,4,2026-10-10
6,MUN,TOT,3,4,2026-10-10
6,SUN,BHA,2,3,2026-10-10
7,BOU,SUN,2,3,2026-10-17
7,BRE,LIV,4,3,2026-10-17
7,BHA,CRY,3,3,2026-10-17
7,EVE,CHE,4,3,2026-10-17
7,FUL,HUL,2,3,2026-10-17
7,LEE,MUN,4,3,2026-10-17
